name,longitude,latitude
Panthera leo,31.361008000000002,-24.230405
Panthera leo,25.915017,-16.232928
Panthera leo,26.348786,-14.64616
Panthera leo,26.244808,-14.67201
Panthera leo,26.481174,-14.70742
Panthera leo,35.473816,-2.937597
Panthera leo,35.022861,-2.034361
Panthera leo,37.034793,-1.709188
Panthera leo,35.865144,-3.678639
Panthera leo,38.401616,-2.158563
Panthera leo,38.191545,-7.660015
Panthera leo,38.009015,-7.719992
Panthera leo,38.100997,-7.624768
Panthera leo,35.141374,-7.580898
Panthera leo,31.9611,-28.273204
Panthera leo,31.996195,-28.381909
Panthera leo,16.330532,-18.892521
Panthera leo,25.161527,-20.577943
Panthera leo,27.12402,-18.835606
Panthera leo,26.580393,-19.14174
Panthera leo,24.996495,-17.804845
Panthera leo,31.694175,-25.335558
Panthera leo,26.379175,-24.693994
Panthera leo,1.514146,11.591737
Panthera leo,2.361471,12.097459
Panthera leo,31.513564,-23.477412
Panthera leo,26.217445,-24.716114
Panthera leo,34.879109,-2.352204
Panthera leo,31.882508,-26.203815
Panthera leo,1.403621,11.575188
Panthera leo,31.731635,-23.885533
Panthera leo,3.130232,9.815806
Panthera leo,32.122171,-28.074098
Panthera leo,31.744969,-24.966679
Panthera leo,1.734993,11.004418
Panthera leo,23.320294,-19.518056
Panthera leo,26.257187,-33.57288
Panthera leo,26.241833,-33.481149
Panthera leo,31.439298,-24.408143
Panthera leo,1.953643,11.119615
Panthera leo,14.480488,8.412288
Panthera leo,2.965666,9.89808
Panthera leo,3.056294,9.879071
Panthera leo,35.810605,-3.80245
Panthera leo,1.9693,11.228275
Panthera leo,2.681252,12.388794
Panthera leo,14.57032,8.755531
Panthera leo,31.40386,-23.815288
Panthera leo,36.12065,-3.498208
Panthera leo,35.043051,-1.043133
Panthera leo,26.235157,-24.607012
Panthera leo,2.77938,12.14359
Panthera leo,2.68412,12.01904
Panthera leo,-1.777872,11.365362
Panthera leo,16.948908,-18.729027
Panthera leo,31.95789,-26.040385
Panthera leo,36.109449,-0.225092
Panthera leo,31.465154,-24.692158
Panthera leo,31.047689,-24.412862
Panthera leo,2.76194,11.714185
Panthera leo,2.689737,11.641982
Panthera leo,2.050397,11.38095
Panthera leo,2.793564,11.584033
Panthera leo,3.003939,12.247507
Panthera leo,2.477532,11.735882
Panthera leo,3.220698,11.938965
Panthera leo,2.564267,11.83128
Panthera leo,2.830637,11.463997
Panthera leo,18.569808,-13.78442
Panthera leo,34.755588,-2.135581
Panthera leo,23.162542,-19.331475
Panthera leo,16.562461,-18.815713
Panthera leo,22.025343,-33.897947
Panthera leo,34.162475,-2.043254
Panthera leo,34.052232,-2.164775
Panthera leo,3.075443,9.686616
Panthera leo,31.630737,-24.275395
Panthera leo,31.097444,-24.261598
Panthera leo,1.33459,11.27381
Panthera leo,1.61864,11.39426
Panthera leo,1.562612,11.29066
Panthera leo,15.960425,-19.177581
Panthera leo,15.842224,-19.239376
Panthera leo,13.16486,-19.223706
Panthera leo,23.754207,-19.538198
Panthera leo,23.690008,-19.446331
Panthera leo,1.758958,11.400889
Panthera leo,34.935077,-1.205486
Panthera leo,29.648848,-0.47166
Panthera leo,29.850164,-0.015808
Panthera leo,37.135334,-7.345612
Panthera leo,30.537872,-24.155525
Panthera leo,31.324103,-24.478983
Panthera leo,34.836419,-1.584463
Panthera leo,34.94506,1.597719
Panthera leo,32.025085,-27.97764
Panthera leo,30.468393,-24.005401
Panthera leo,15.713506,-19.217072
Panthera leo,31.328882,-6.86445
Panthera leo,31.155787,-24.431301
Panthera leo,37.391412,-2.747283
Panthera leo,21.865074,-34.090982
Panthera leo,21.998492,-34.045961
Panthera leo,34.634761,-7.775661
Panthera leo,34.6707,-7.652614
Panthera leo,2.57148,11.55953
Panthera leo,31.081929,-6.86991
Panthera leo,31.172623,-6.922897
Panthera leo,22.426148,-32.347133
Panthera leo,22.471074,-32.234527
Panthera leo,20.534464,-26.31005
Panthera leo,20.536454,-26.203854
Panthera leo,35.644233,12.202575
Panthera leo,31.714892,-24.528791
Panthera leo,36.998902,-1.28326
Panthera leo,36.862675,-1.281587
Panthera leo,20.551831,-25.480671
Panthera leo,2.94126,12.11485
Panthera leo,20.6091,-24.495892
Panthera leo,23.258633,-26.725679
Panthera leo,34.88859,-1.488631
Panthera leo,39.721946,6.690568
Panthera leo,35.04776,-2.934812
Panthera leo,34.997585,-2.831946
Panthera leo,36.292077,-0.841761
Panthera leo,1.3346,11.1614
Panthera leo,1.847435,11.340205
Panthera leo,1.473019,11.709796
Panthera leo,1.669789,11.312511
Panthera leo,1.521363,11.192171
Panthera leo,31.377116,-24.329938
Panthera leo,31.273881,-24.355487
Panthera leo,14.579425,8.557895
Panthera leo,37.102739,-7.465797
Panthera leo,16.205774,-18.901245
Panthera leo,35.472134,-2.033731
Panthera leo,35.956879,-3.946461
Panthera leo,31.79685,-24.821018
Panthera leo,2.5833,12
Panthera leo,14.746107,8.455099
Panthera leo,14.703365,8.783814
Panthera leo,2.97694,11.7917
Panthera leo,35.111658,-7.454226
Panthera leo,2.782314,11.986022
Panthera leo,22.778078,-18.767492
Panthera leo,14.410718,10.626132
Panthera leo,2.444173,11.825206
Panthera leo,27.141963,-25.020709
Panthera leo,37.447423,0.239337
Panthera leo,26.771206,-18.940337
Panthera leo,24.851599,-17.95314
